,Medicine Name,Use,Side Effects,Dosage
146,Cafcit,Cafcit (caffeine citrate) is a central nervous system stimulant used to treat breathing problems in premature infants. Cafcit is available in generic form.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'feeding problems,', 'loss of appetite,', 'vomiting,']",Cafcit may cause serious side effects including:
147,Calan,"Calan (verapamil hydrochloride) is a calcium channel blocker used to treat hypertension (high blood pressure), angina (chest pain), and certain heart rhythm disorders. Calan is available in generic form.","['dizziness, ', 'slow heartbeat, ', 'constipation, ', 'nausea, ', 'headache, ', 'tiredness, ']",The usual dose of Calan to treat angina is 80 mg to 120 mg three times a day. The dosage to treat arrhythmias ranges from 240 to 480 mg/day divided into three or four daily doses. The usual initial dosage to treat hypertension is 80 mg three times a day (240 mg/day).
148,Calan SR,,"['constipation,', 'dizziness,', 'lightheadedness,', 'nausea, ', 'low blood pressure (hypotension),', 'headache,']","The initial dose of Calan SR is 180 mg, given in the morning."
149,Asparlas,Asparlas (calaspargase pegol - mknl) is an asparagine specific enzyme indicated as a component of a multi-agent chemotherapeutic regimen for the treatment of acute lymphoblastic leukemia in pediatric and young adult patients age 1 month to 21 years.,"['elevated transaminase,', 'bilirubin increased,', 'pancreatitis,', 'abnormal clotting studies,', 'diarrhea,', 'hypersensitivity,']","The recommended dosage of Asparlas is 2,500 units/m2 intravenously no more frequently than every 21 days."
150,Rayaldee,Rayaldee (calcifediol) extended-release capsules is a vitamin D3 analog indicated for the treatment of secondary hyperparathyroidism in adults with stage 3 or 4 chronic kidney disease and serum total 25-hydroxyvitamin D levels less than 30 ng/mL.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'shortness of breath,', 'swelling,', 'rapid weight gain,']","
hives,
difficulty breathing,
swelling of your face, lips, tongue, or throat,
shortness of breath,
swelling,
rapid weight gain,
confusion,
tiredness,
nausea,
vomiting,
loss of appetite,
constipation,
increased thirst or urination,
weight loss,
pale skin,
unusual tiredness,
lightheadedness, and
cold hands and feet
"
151,Calciferol,"Calciferol (ergocalciferol) is vitamin D2 used to treat hypoparathyroidism (decreased functioning of the parathyroid glands), and is also used to treat rickets (softening of the bones caused by vitamin D deficiency) or low levels of phosphate in the blood (hypophosphatemia). Calciferol is available in generic form. 
","['thinking problems, ', 'changes in behavior, ', 'irritability, ', 'urinating more than usual, ', 'chest pain, ', 'shortness of breath, or ']","To treat Vitamin D resistant rickets the dose of Calciferol is 12,000 to 500,000 USP units daily. To treat hypoparathyroidism, the dose is 50,000 to 200,000 USP units daily taken with calcium lactate 4 g, six times per day. The range between therapeutic and toxic doses is narrow. Dosage must be individualized under close medical supervision."
152,Calcijex,"Calcijex (calcitriol injection) is a man-made form of vitamin D3 used to treat or prevent low calcium levels in patients undergoing long-term kidney dialysis. Calcijex is usually used along with diet, supplements, and sometimes other medications. Calcijex is available in generic form.",[],The optimal dose of Calcijex is individually determined for each patient.
153,Taclonex,Taclonex (calcipotriene and betamethasone dipropionate) Ointment is a combination of a form of vitamin D and a topical (for the skin) corticosteroid used to treat psoriasis vulgaris.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'worsening of your skin condition,', 'redness, warmth, swelling, oozing, or severe irritation of any treated skin,', 'blurred vision,']",Apply an adequate layer of Taclonex Ointment to the affected area(s) once daily for up to 4 weeks. Rub in gently and completely. The maximum weekly dose should not exceed 100 g.
154,Wynzora,Wynzora (calcipotriene and betamethasone dipropionate cream) is a combination of a vitamin D analog and a corticosteroid used for the topical treatment of plaque psoriasis in patients 18 years of age and older.,"['upper respiratory infection,', 'headache, and', 'application site irritation', 'Serious eye symptoms such as sudden vision loss, blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights;', 'Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheartedness, or passing out;', 'Severe headache, confusion, slurred speech, arm or leg weakness, trouble walking, loss of coordination, feeling unsteady, very stiff muscles, high fever, profuse sweating, or tremors.']",The dose of Wynzora Cream is to apply to affected areas once daily for up to 8 weeks. Do not use more than 100 g per week.
155,Enstilar,"Enstilar (calcipotriene and betamethasone dipropionate) Foam, 0.005%/0.064%, is a combination a vitamin D analog and a corticosteroid, indicated for the topical treatment of plaque psoriasis in patients 18 years of age and older.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'skin thinning,', 'skin discoloration,', 'stretch marks,']",Apply a dose of Enstilar Foam to affected area(s) once daily for up to 4 weeks.
156,Taclonex Scalp,Taclonex Topical Suspension (calcipotriene and betamethasone dipropionate) is a combination of a synthetic form of Vitamin D3 and a topical corticosteroid used to treat psoriasis vulgaris. Taclonex Topical Suspension is available in generic form.,"['confusion,', 'tiredness,', 'nausea,', 'vomiting,', 'loss of appetite,', 'constipation,']",Apply Taclonex Topical Suspension to affected areas once daily for up to 8 weeks. Do not exceed a maximum weekly dose of 100 g.
157,Dovonex Cream,Dovonex (calcipotriene) Cream is a vitamin B3 derivative indicated for the treatment of plaque psoriasis.,"['skin irritation, ', 'rash or itching, ', 'skin redness, ', 'dry or peeling skin, and ', 'worsening psoriasis. ', 'skin thinning or discoloration, ']",Dovonex Cream contains 50 micrograms of calcipotriene monohydrate per gram of cream. Apply a thin layer of Dovonex Cream to the affected skin twice daily and rub in gently and completely.
158,Sorilux,"Sorilux (calcipotriene) Foam, 0.005% is a manmade form of vitamin D3 used for the topical treatment of plaque psoriasis in patients aged 18 years and older.","['skin redness', 'irritation', 'swelling', 'rash, and ', 'itching in the treated area']",Apply a thin layer dose of Sorilux Foam twice daily to the affected areas and rub in gently and completely.
159,Dovonex Ointment,Dovonex (calcipotriene) is a synthetic topical (for the skin) form of vitamin D used to treat plaque psoriasis (psoriasis with scaly patches). Dovonex is available in generic form.,"['burning, ', 'itching, ', 'rash, ', 'irritation, ', 'redness, ', 'dry skin, or ']","Apply a thin layer of Dovonex ointment in a once or twice daily dose and rub in gently and completely. Avoid using harsh, abrasive, or irritating cleansers, perfumes, or cosmetics on the area you are treating."
160,Dovonex Scalp,"Dovonex (calcipotriene solution) Scalp Solution, 0.005% is a synthetic topical form of vitamin D used to treat plaque psoriasis (psoriasis with scaly patches). Dovonex Scalp is available in generic form.","['burning', 'stinging', 'tingling', 'rash', 'dry skin', 'redness']","Comb the hair to remove scaly debris and after suitably parting, apply a dose of Dovonex Scalp Solution, 0.005%, twice daily, only to the lesions, and rub in gently and completely, taking care to prevent the solution spreading onto the forehead."
161,Miacalcin,"Miacalcin (calcitonin-salmon) is a man-made form of a hormone that occurs naturally in the thyroid gland used to treat Paget's disease of bone, postmenopausal osteoporosis, or high levels of calcium in the blood (hypercalcemia).","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'lightheadedness,', 'muscle spasms or contractions, and', 'numbness or tingly feeling (around your mouth, or in your fingers and toes)']","The recommended dose of Miacalcin Nasal Spray in postmenopausal osteoporotic females is one spray (200 I.U.) per day administered intranasally (in the nose), alternating nostrils daily."
162,Fortical,Fortical (calcitonin-salmon rDNA origin) Nasal Spray is a manmade form of a hormone secreted by the thyroid gland used to treat brittle bone disease (osteoporosis) in women who are at least 5 years past menopause.,"['\xa0runny or stuffy nose', 'nosebleeds', 'nasal irritation or discomfort', 'dry nose with crusting/scabs/sores', 'nasal itching or tenderness', 'redness in or around the nose']","The recommended dose of Fortical Nasal Spray in postmenopausal osteoporotic patients is 1 spray (200 International Units) per day administered intranasally, alternating nostrils daily."
163,Rocaltrol,Rocaltrol (calcitriol) is a synthetic version of Vitamin D3 used to treat calcium deficiency with hypoparathyroidism (decreased functioning of the parathyroid glands) and metabolic bone disease in people with chronic kidney failure.,"['increased thirst, ', 'urinating more than usual or changes in the amount of urine, ', 'lower back pain, ', 'heart rate changes (fast, slow, or uneven), ', 'headache, ', 'drowsiness, ']","Rocaltrol is dosed for each individual patient, and may be given in either capsule or oral solution form."
